year,garnizon,age,suicides,outcome
2003,Poznań,13-18,28,Attempted
2003,Szczecin,13-18,21,Attempted
2003,Warszawa,13-18,6,Attempted
2004,Wrocław,13-18,23,Attempted
2004,Bydgoszcz,13-18,28,Attempted
2004,Lublin,13-18,29,Attempted
2004,Gorzów Wlkp.,13-18,16,Attempted
2004,Łódź,13-18,14,Attempted
2004,Kraków,13-18,27,Attempted
2004,Radom,13-18,16,Attempted
2004,Opole,13-18,14,Attempted
2004,Rzeszów,13-18,12,Attempted
2004,Białystok,13-18,10,Attempted
2004,Gdańsk,13-18,14,Attempted
2004,Katowice,13-18,31,Attempted
2004,Kielce,13-18,6,Attempted
2004,Olsztyn,13-18,11,Attempted
2004,Poznań,13-18,27,Attempted
2004,Szczecin,13-18,27,Attempted
2004,Warszawa,13-18,13,Attempted
2005,Wrocław,13-18,13,Attempted
2005,Bydgoszcz,13-18,20,Attempted
2005,Lublin,13-18,18,Attempted
2005,Gorzów Wlkp.,13-18,14,Attempted
2005,Łódź,13-18,8,Attempted
2005,Kraków,13-18,24,Attempted
2005,Radom,13-18,19,Attempted
2005,Opole,13-18,12,Attempted
2005,Rzeszów,13-18,20,Attempted
2005,Białystok,13-18,14,Attempted
2005,Gdańsk,13-18,22,Attempted
2005,Katowice,13-18,33,Attempted
2005,Kielce,13-18,2,Attempted
2005,Olsztyn,13-18,26,Attempted
2005,Poznań,13-18,18,Attempted
2005,Szczecin,13-18,22,Attempted
2005,Warszawa,13-18,9,Attempted
2006,Wrocław,13-18,14,Attempted
2006,Bydgoszcz,13-18,15,Attempted
2006,Lublin,13-18,25,Attempted
2006,Gorzów Wlkp.,13-18,12,Attempted
2006,Łódź,13-18,10,Attempted
2006,Kraków,13-18,24,Attempted
2006,Radom,13-18,14,Attempted
2006,Opole,13-18,13,Attempted
2006,Rzeszów,13-18,22,Attempted
2006,Białystok,13-18,10,Attempted
2006,Gdańsk,13-18,28,Attempted
2006,Katowice,13-18,33,Attempted
2006,Kielce,13-18,12,Attempted
2006,Olsztyn,13-18,21,Attempted
2006,Poznań,13-18,20,Attempted
2006,Szczecin,13-18,16,Attempted
2006,Warszawa,13-18,8,Attempted
2007,Wrocław,13-18,22,Attempted
2007,Bydgoszcz,13-18,14,Attempted
2007,Lublin,13-18,20,Attempted
2007,Gorzów Wlkp.,13-18,9,Attempted
2007,Łódź,13-18,20,Attempted
2007,Kraków,13-18,20,Attempted
2007,Radom,13-18,17,Attempted
2007,Opole,13-18,8,Attempted
2007,Rzeszów,13-18,16,Attempted
2007,Białystok,13-18,17,Attempted
2007,Gdańsk,13-18,19,Attempted
2007,Katowice,13-18,31,Attempted
2007,Kielce,13-18,9,Attempted
2007,Olsztyn,13-18,27,Attempted
2007,Poznań,13-18,17,Attempted
2007,Szczecin,13-18,19,Attempted
2007,Warszawa,13-18,4,Attempted
2008,Wrocław,13-18,14,Attempted
2008,Bydgoszcz,13-18,15,Attempted
2008,Lublin,13-18,42,Attempted
2008,Gorzów Wlkp.,13-18,14,Attempted
2008,Łódź,13-18,17,Attempted
2008,Kraków,13-18,20,Attempted
2008,Radom,13-18,23,Attempted
2008,Opole,13-18,12,Attempted
2008,Rzeszów,13-18,22,Attempted
2008,Białystok,13-18,21,Attempted
2008,Gdańsk,13-18,12,Attempted
2008,Katowice,13-18,30,Attempted
2008,Kielce,13-18,8,Attempted
2008,Olsztyn,13-18,28,Attempted
2008,Poznań,13-18,22,Attempted
2008,Szczecin,13-18,18,Attempted
2008,Warszawa,13-18,3,Attempted
2009,Wrocław,13-18,12,Attempted
2009,Bydgoszcz,13-18,11,Attempted
2009,Lublin,13-18,22,Attempted
2009,Gorzów Wlkp.,13-18,14,Attempted
2009,Łódź,13-18,30,Attempted
2009,Kraków,13-18,17,Attempted
2009,Radom,13-18,28,Attempted
2009,Opole,13-18,13,Attempted
2009,Rzeszów,13-18,19,Attempted
2009,Białystok,13-18,16,Attempted
2009,Gdańsk,13-18,20,Attempted
2009,Katowice,13-18,39,Attempted
2009,Kielce,13-18,7,Attempted
2009,Olsztyn,13-18,23,Attempted
2009,Poznań,13-18,20,Attempted
2009,Szczecin,13-18,8,Attempted
2009,Warszawa,13-18,14,Attempted
2010,Wrocław,13-18,9,Attempted
2010,Bydgoszcz,13-18,14,Attempted
2010,Lublin,13-18,13,Attempted
2010,Gorzów Wlkp.,13-18,14,Attempted
2010,Łódź,13-18,21,Attempted
2010,Kraków,13-18,19,Attempted
2010,Radom,13-18,23,Attempted
2010,Opole,13-18,21,Attempted
2010,Rzeszów,13-18,10,Attempted
2010,Białystok,13-18,10,Attempted
2010,Gdańsk,13-18,17,Attempted
2010,Katowice,13-18,25,Attempted
2010,Kielce,13-18,7,Attempted
2010,Olsztyn,13-18,23,Attempted
2010,Poznań,13-18,10,Attempted
2010,Szczecin,13-18,23,Attempted
2010,Warszawa,13-18,8,Attempted
