year,garnizon,sex,suicides,outcome
2003,Gorzów Wlkp.,Female,51,Attempted
2003,Łódź,Female,56,Attempted
2003,Kraków,Female,96,Attempted
2003,Radom,Female,46,Attempted
2003,Opole,Female,27,Attempted
2003,Rzeszów,Female,60,Attempted
2003,Białystok,Female,45,Attempted
2003,Gdańsk,Female,51,Attempted
2003,Katowice,Female,142,Attempted
2003,Kielce,Female,23,Attempted
2003,Olsztyn,Female,23,Attempted
2003,Poznań,Female,115,Attempted
2003,Szczecin,Female,84,Attempted
2003,Warszawa,Female,42,Attempted
2004,Wrocław,Female,94,Attempted
2004,Bydgoszcz,Female,71,Attempted
2004,Lublin,Female,42,Attempted
2004,Gorzów Wlkp.,Female,37,Attempted
2004,Łódź,Female,65,Attempted
2004,Kraków,Female,91,Attempted
2004,Radom,Female,48,Attempted
2004,Opole,Female,35,Attempted
2004,Rzeszów,Female,49,Attempted
2004,Białystok,Female,34,Attempted
2004,Gdańsk,Female,61,Attempted
2004,Katowice,Female,135,Attempted
2004,Kielce,Female,37,Attempted
2004,Olsztyn,Female,40,Attempted
2004,Poznań,Female,112,Attempted
2004,Szczecin,Female,73,Attempted
2004,Warszawa,Female,70,Attempted
2005,Wrocław,Female,70,Attempted
2005,Bydgoszcz,Female,60,Attempted
2005,Lublin,Female,68,Attempted
2005,Gorzów Wlkp.,Female,39,Attempted
2005,Łódź,Female,73,Attempted
2005,Kraków,Female,76,Attempted
2005,Radom,Female,40,Attempted
2005,Opole,Female,40,Attempted
2005,Rzeszów,Female,43,Attempted
2005,Białystok,Female,42,Attempted
2005,Gdańsk,Female,60,Attempted
2005,Katowice,Female,115,Attempted
2005,Kielce,Female,21,Attempted
2005,Olsztyn,Female,52,Attempted
2005,Poznań,Female,115,Attempted
2005,Szczecin,Female,50,Attempted
2005,Warszawa,Female,65,Attempted
2006,Wrocław,Female,67,Attempted
2006,Bydgoszcz,Female,33,Attempted
2006,Lublin,Female,52,Attempted
2006,Gorzów Wlkp.,Female,44,Attempted
2006,Łódź,Female,69,Attempted
2006,Kraków,Female,80,Attempted
2006,Radom,Female,41,Attempted
2006,Opole,Female,46,Attempted
2006,Rzeszów,Female,37,Attempted
2006,Białystok,Female,33,Attempted
2006,Gdańsk,Female,73,Attempted
2006,Katowice,Female,118,Attempted
2006,Kielce,Female,30,Attempted
2006,Olsztyn,Female,71,Attempted
2006,Poznań,Female,85,Attempted
2006,Szczecin,Female,51,Attempted
2006,Warszawa,Female,48,Attempted
2007,Wrocław,Female,53,Attempted
2007,Bydgoszcz,Female,54,Attempted
2007,Lublin,Female,48,Attempted
2007,Gorzów Wlkp.,Female,38,Attempted
2007,Łódź,Female,92,Attempted
2007,Kraków,Female,68,Attempted
2007,Radom,Female,44,Attempted
2007,Opole,Female,25,Attempted
2007,Rzeszów,Female,38,Attempted
2007,Białystok,Female,30,Attempted
2007,Gdańsk,Female,42,Attempted
2007,Katowice,Female,105,Attempted
2007,Kielce,Female,20,Attempted
2007,Olsztyn,Female,77,Attempted
2007,Poznań,Female,107,Attempted
2007,Szczecin,Female,58,Attempted
2007,Warszawa,Female,29,Attempted
2008,Wrocław,Female,54,Attempted
2008,Bydgoszcz,Female,61,Attempted
2008,Lublin,Female,71,Attempted
2008,Gorzów Wlkp.,Female,44,Attempted
2008,Łódź,Female,80,Attempted
2008,Kraków,Female,61,Attempted
2008,Radom,Female,64,Attempted
2008,Opole,Female,38,Attempted
2008,Rzeszów,Female,47,Attempted
2008,Białystok,Female,45,Attempted
2008,Gdańsk,Female,50,Attempted
2008,Katowice,Female,125,Attempted
2008,Kielce,Female,17,Attempted
2008,Olsztyn,Female,93,Attempted
2008,Poznań,Female,70,Attempted
2008,Szczecin,Female,61,Attempted
2008,Warszawa,Female,49,Attempted
2009,Wrocław,Female,52,Attempted
2009,Bydgoszcz,Female,49,Attempted
2009,Lublin,Female,64,Attempted
2009,Gorzów Wlkp.,Female,52,Attempted
2009,Łódź,Female,86,Attempted
2009,Kraków,Female,73,Attempted
2009,Radom,Female,62,Attempted
2009,Opole,Female,35,Attempted
2009,Rzeszów,Female,32,Attempted
2009,Białystok,Female,47,Attempted
2009,Gdańsk,Female,66,Attempted
2009,Katowice,Female,132,Attempted
2009,Kielce,Female,23,Attempted
2009,Olsztyn,Female,104,Attempted
