year,garnizon,outcome,total,percentage
2015,Poznań,Fatal,400,NA
2015,Radom,Attempted,559,NA
2015,Radom,Fatal,413,NA
2015,Rzeszów,Attempted,466,NA
2015,Rzeszów,Fatal,266,NA
2015,Szczecin,Attempted,435,NA
2015,Szczecin,Fatal,284,NA
2015,Warszawa,Attempted,484,NA
2015,Warszawa,Fatal,383,NA
2015,Wrocław,Attempted,619,NA
2015,Wrocław,Fatal,486,NA
2016,Białystok,Attempted,389,NA
2016,Białystok,Fatal,167,NA
2016,Bydgoszcz,Attempted,351,NA
2016,Bydgoszcz,Fatal,271,NA
2016,Gdańsk,Attempted,461,NA
2016,Gdańsk,Fatal,293,NA
2016,Gorzów Wlkp.,Attempted,284,NA
2016,Gorzów Wlkp.,Fatal,171,NA
2016,Katowice,Attempted,1436,NA
2016,Katowice,Fatal,650,NA
2016,Kielce,Attempted,670,NA
2016,Kielce,Fatal,210,NA
2016,Kraków,Attempted,1029,NA
2016,Kraków,Fatal,443,NA
2016,Lublin,Attempted,465,NA
2016,Lublin,Fatal,341,NA
2016,Łódź,Attempted,1003,NA
2016,Łódź,Fatal,379,NA
2016,Olsztyn,Attempted,483,NA
2016,Olsztyn,Fatal,232,NA
2016,Opole,Attempted,244,NA
2016,Opole,Fatal,129,NA
2016,Poznań,Attempted,549,NA
2016,Poznań,Fatal,394,NA
2016,Radom,Attempted,558,NA
2016,Radom,Fatal,398,NA
2016,Rzeszów,Attempted,441,NA
2016,Rzeszów,Fatal,239,NA
2016,Szczecin,Attempted,415,NA
2016,Szczecin,Fatal,265,NA
2016,Warszawa,Attempted,475,NA
2016,Warszawa,Fatal,373,NA
2016,Wrocław,Attempted,608,NA
2016,Wrocław,Fatal,450,NA
2017,Białystok,Attempted,348,NA
2017,Białystok,Fatal,142,NA
2017,Bydgoszcz,Attempted,385,NA
2017,Bydgoszcz,Fatal,247,NA
2017,Gdańsk,Attempted,587,NA
2017,Gdańsk,Fatal,318,NA
2017,Gorzów Wlkp.,Attempted,288,NA
2017,Gorzów Wlkp.,Fatal,166,NA
2017,Katowice,Attempted,1667,NA
2017,Katowice,Fatal,601,NA
2017,Kielce,Attempted,610,NA
2017,Kielce,Fatal,199,NA
