Year,Garnizon,Age,Suicides
2002,KWP Opole,40-44,15
2002,KWP Katowice,40-44,69
2002,KWP Poznań,40-44,71
2002,KSP Warszawa,40-44,15
2002,Polska,40-44,629
2003,KWP Kraków,40-44,46
2003,KWP Opole,40-44,15
2003,KWP Katowice,40-44,58
2003,KWP Poznań,40-44,52
2003,KSP Warszawa,40-44,26
2003,Polska,40-44,523
2004,KWP Kraków,40-44,49
2004,KWP Opole,40-44,16
2004,KWP Katowice,40-44,51
2004,KWP Poznań,40-44,51
2004,KSP Warszawa,40-44,20
2004,Polska,40-44,511
2005,KWP Kraków,40-44,44
2005,KWP Opole,40-44,4
2005,KWP Katowice,40-44,42
2005,KWP Poznań,40-44,43
2005,KSP Warszawa,40-44,17
2005,Polska,40-44,442
2006,KWP Kraków,40-44,25
2006,KWP Opole,40-44,11
2006,KWP Katowice,40-44,35
2006,KWP Poznań,40-44,32
2006,KSP Warszawa,40-44,10
2006,Polska,40-44,362
2007,KWP Kraków,40-44,25
2007,KWP Opole,40-44,5
2007,KWP Katowice,40-44,24
2007,KWP Poznań,40-44,33
2007,KSP Warszawa,40-44,4
2007,Polska,40-44,287
2008,KWP Kraków,40-44,23
2008,KWP Opole,40-44,9
2008,KWP Katowice,40-44,43
2008,KWP Poznań,40-44,22
2008,KSP Warszawa,40-44,16
2008,Polska,40-44,351
2009,KWP Kraków,40-44,25
2009,KWP Opole,40-44,9
2009,KWP Katowice,40-44,47
2009,KWP Poznań,40-44,34
2009,KSP Warszawa,40-44,17
2009,Polska,40-44,346
2010,KWP Kraków,40-44,34
2010,KWP Opole,40-44,8
2010,KWP Katowice,40-44,43
2010,KWP Poznań,40-44,23
2010,KSP Warszawa,40-44,11
2010,Polska,40-44,336
2011,KWP Kraków,40-44,24
2011,KWP Opole,40-44,1
2011,KWP Katowice,40-44,30
2011,KWP Poznań,40-44,28
2011,KSP Warszawa,40-44,16
2011,Polska,40-44,310
2012,KWP Kraków,40-44,23
2012,KWP Opole,40-44,9
2012,KWP Katowice,40-44,28
2012,KWP Poznań,40-44,23
2012,KSP Warszawa,40-44,26
2012,Polska,40-44,333
1999,KWP Kraków,45-49,41
1999,KWP Opole,45-49,22
1999,KWP Katowice,45-49,64
1999,KWP Poznań,45-49,82
1999,KSP Warszawa,45-49,18
1999,Polska,45-49,665
2000,KWP Kraków,45-49,62
2000,KWP Opole,45-49,19
2000,KWP Katowice,45-49,72
2000,KWP Poznań,45-49,74
2000,KSP Warszawa,45-49,9
2000,Polska,45-49,685
2001,KWP Kraków,45-49,91
2001,KWP Opole,45-49,16
2001,KWP Katowice,45-49,76
2001,KWP Poznań,45-49,78
2001,KSP Warszawa,45-49,7
2001,Polska,45-49,727
2002,KWP Kraków,45-49,66
2002,KWP Opole,45-49,14
2002,KWP Katowice,45-49,62
2002,KWP Poznań,45-49,79
2002,KSP Warszawa,45-49,14
2002,Polska,45-49,685
2003,KWP Kraków,45-49,58
2003,KWP Opole,45-49,17
2003,KWP Katowice,45-49,71
2003,KWP Poznań,45-49,64
2003,KSP Warszawa,45-49,23
2003,Polska,45-49,659
2004,KWP Kraków,45-49,52
2004,KWP Opole,45-49,21
2004,KWP Katowice,45-49,64
2004,KWP Poznań,45-49,62
2004,KSP Warszawa,45-49,23
2004,Polska,45-49,663
2005,KWP Kraków,45-49,58
2005,KWP Opole,45-49,16
2005,KWP Katowice,45-49,63
2005,KWP Poznań,45-49,58
2005,KSP Warszawa,45-49,31
2005,Polska,45-49,637
2006,KWP Kraków,45-49,40
2006,KWP Opole,45-49,14
2006,KWP Katowice,45-49,43
2006,KWP Poznań,45-49,60
2006,KSP Warszawa,45-49,18
2006,Polska,45-49,534
2007,KWP Kraków,45-49,31
2007,KWP Opole,45-49,16
2007,KWP Katowice,45-49,33
2007,KWP Poznań,45-49,48
2007,KSP Warszawa,45-49,25
2007,Polska,45-49,431
2008,KWP Kraków,45-49,39
2008,KWP Opole,45-49,10
2008,KWP Katowice,45-49,33
2008,KWP Poznań,45-49,30
2008,KSP Warszawa,45-49,19
2008,Polska,45-49,443
2009,KWP Kraków,45-49,40
2009,KWP Opole,45-49,10
2009,KWP Katowice,45-49,52
2009,KWP Poznań,45-49,56
2009,KSP Warszawa,45-49,23
2009,Polska,45-49,515
2010,KWP Kraków,45-49,38
2010,KWP Opole,45-49,9
2010,KWP Katowice,45-49,50
2010,KWP Poznań,45-49,31
2010,KSP Warszawa,45-49,21
2010,Polska,45-49,410
2011,KWP Kraków,45-49,36
2011,KWP Opole,45-49,6
2011,KWP Katowice,45-49,50
2011,KWP Poznań,45-49,21
2011,KSP Warszawa,45-49,12
2011,Polska,45-49,354
2012,KWP Kraków,45-49,33
2012,KWP Opole,45-49,12
2012,KWP Katowice,45-49,33
2012,KWP Poznań,45-49,22
2012,KSP Warszawa,45-49,26
2012,Polska,45-49,375
1999,KWP Kraków,50-54,26
1999,KWP Opole,50-54,9
1999,KWP Katowice,50-54,49
1999,KWP Poznań,50-54,55
1999,KSP Warszawa,50-54,10
1999,Polska,50-54,430
2000,KWP Kraków,50-54,44
2000,KWP Opole,50-54,12
2000,KWP Katowice,50-54,45
2000,KWP Poznań,50-54,64
2000,KSP Warszawa,50-54,8
2000,Polska,50-54,511
2001,KWP Kraków,50-54,51
2001,KWP Opole,50-54,17
2001,KWP Katowice,50-54,54
2001,KWP Poznań,50-54,70
2001,KSP Warszawa,50-54,12
2001,Polska,50-54,604
2002,KWP Kraków,50-54,70
2002,KWP Opole,50-54,14
2002,KWP Katowice,50-54,66
2002,KWP Poznań,50-54,69
2002,KSP Warszawa,50-54,17
2002,Polska,50-54,634
2003,KWP Kraków,50-54,57
2003,KWP Opole,50-54,9
2003,KWP Katowice,50-54,58
2003,KWP Poznań,50-54,61
2003,KSP Warszawa,50-54,20
2003,Polska,50-54,589
2004,KWP Kraków,50-54,51
2004,KWP Opole,50-54,24
2004,KWP Katowice,50-54,65
2004,KWP Poznań,50-54,71
2004,KSP Warszawa,50-54,28
2004,Polska,50-54,641
2005,KWP Kraków,50-54,50
2005,KWP Opole,50-54,17
2005,KWP Katowice,50-54,75
2005,KWP Poznań,50-54,46
2005,KSP Warszawa,50-54,33
2005,Polska,50-54,596
2006,KWP Kraków,50-54,36
2006,KWP Opole,50-54,14
2006,KWP Katowice,50-54,56
2006,KWP Poznań,50-54,48
2006,KSP Warszawa,50-54,29
2006,Polska,50-54,531
2007,KWP Kraków,50-54,25
2007,KWP Opole,50-54,8
2007,KWP Katowice,50-54,36
2007,KWP Poznań,50-54,45
2007,KSP Warszawa,50-54,20
2007,Polska,50-54,433
2008,KWP Kraków,50-54,42
2008,KWP Opole,50-54,10
2008,KWP Katowice,50-54,46
2008,KWP Poznań,50-54,39
2008,KSP Warszawa,50-54,19
2008,Polska,50-54,500
2009,KWP Kraków,50-54,47
2009,KWP Opole,50-54,21
2009,KWP Katowice,50-54,63
2009,KWP Poznań,50-54,50
2009,KSP Warszawa,50-54,29
2009,Polska,50-54,598
2010,KWP Kraków,50-54,46
2010,KWP Opole,50-54,12
2010,KWP Katowice,50-54,52
2010,KWP Poznań,50-54,41
2010,KSP Warszawa,50-54,22
2010,Polska,50-54,566
2011,KWP Kraków,50-54,46
2011,KWP Opole,50-54,12
2011,KWP Katowice,50-54,56
2011,KWP Poznań,50-54,39
2011,KSP Warszawa,50-54,27
2011,Polska,50-54,525
2012,KWP Kraków,50-54,56
2012,KWP Opole,50-54,10
2012,KWP Katowice,50-54,39
2012,KWP Poznań,50-54,33
2012,KSP Warszawa,50-54,41
2012,Polska,50-54,510
1999,KWP Kraków,55-59,20
1999,KWP Opole,55-59,11
1999,KWP Katowice,55-59,35
1999,KWP Poznań,55-59,29
1999,KSP Warszawa,55-59,2
1999,Polska,55-59,298
2000,KWP Kraków,55-59,31
2000,KWP Opole,55-59,9
2000,KWP Katowice,55-59,33
2000,KWP Poznań,55-59,39
2000,KSP Warszawa,55-59,3
2000,Polska,55-59,301
