year,garnizon,education,suicides,outcome
2005,Bydgoszcz,medium,28,Attempted
2005,Bydgoszcz,higher,3,Attempted
2005,Lublin,basic incomplete,14,Attempted
2005,Lublin,basic,87,Attempted
2005,Lublin,technical/professional,59,Attempted
2005,Lublin,medium,31,Attempted
2005,Lublin,higher,9,Attempted
2005,Gorzów Wlkp.,basic incomplete,3,Attempted
2005,Gorzów Wlkp.,basic,29,Attempted
2005,Gorzów Wlkp.,technical/professional,25,Attempted
2005,Gorzów Wlkp.,medium,7,Attempted
2005,Gorzów Wlkp.,higher,0,Attempted
2005,Łódź,basic incomplete,15,Attempted
2005,Łódź,basic,90,Attempted
2005,Łódź,technical/professional,68,Attempted
2005,Łódź,medium,26,Attempted
2005,Łódź,higher,6,Attempted
2005,Kraków,basic incomplete,7,Attempted
2005,Kraków,basic,67,Attempted
2005,Kraków,technical/professional,75,Attempted
2005,Kraków,medium,36,Attempted
2005,Kraków,higher,11,Attempted
2005,Radom,basic incomplete,17,Attempted
2005,Radom,basic,91,Attempted
2005,Radom,technical/professional,63,Attempted
2005,Radom,medium,17,Attempted
2005,Radom,higher,6,Attempted
2005,Opole,basic incomplete,4,Attempted
2005,Opole,basic,26,Attempted
2005,Opole,technical/professional,23,Attempted
2005,Opole,medium,15,Attempted
2005,Opole,higher,5,Attempted
2005,Rzeszów,basic incomplete,7,Attempted
2005,Rzeszów,basic,58,Attempted
2005,Rzeszów,technical/professional,64,Attempted
2005,Rzeszów,medium,23,Attempted
2005,Rzeszów,higher,4,Attempted
2005,Białystok,basic incomplete,3,Attempted
2005,Białystok,basic,59,Attempted
2005,Białystok,technical/professional,25,Attempted
2005,Białystok,medium,23,Attempted
2005,Białystok,higher,9,Attempted
2005,Gdańsk,basic incomplete,6,Attempted
2005,Gdańsk,basic,47,Attempted
2005,Gdańsk,technical/professional,41,Attempted
2005,Gdańsk,medium,15,Attempted
2005,Gdańsk,higher,5,Attempted
2005,Katowice,basic incomplete,6,Attempted
2005,Katowice,basic,88,Attempted
2005,Katowice,technical/professional,162,Attempted
2005,Katowice,medium,45,Attempted
2005,Katowice,higher,8,Attempted
2005,Kielce,basic incomplete,7,Attempted
2005,Kielce,basic,36,Attempted
2005,Kielce,technical/professional,54,Attempted
2005,Kielce,medium,40,Attempted
2005,Kielce,higher,8,Attempted
2005,Olsztyn,basic incomplete,7,Attempted
2005,Olsztyn,basic,70,Attempted
2005,Olsztyn,technical/professional,42,Attempted
2005,Olsztyn,medium,17,Attempted
2005,Olsztyn,higher,6,Attempted
2005,Poznań,basic incomplete,9,Attempted
2005,Poznań,basic,78,Attempted
2005,Poznań,technical/professional,98,Attempted
2005,Poznań,medium,36,Attempted
2005,Poznań,higher,14,Attempted
2005,Szczecin,basic incomplete,3,Attempted
2005,Szczecin,basic,62,Attempted
2005,Szczecin,technical/professional,40,Attempted
2005,Szczecin,medium,13,Attempted
2005,Szczecin,higher,7,Attempted
2005,Warszawa,basic incomplete,5,Attempted
2005,Warszawa,basic,38,Attempted
2005,Warszawa,technical/professional,30,Attempted
2005,Warszawa,medium,25,Attempted
2005,Warszawa,higher,13,Attempted
2006,Wrocław,basic incomplete,7,Attempted
2006,Wrocław,basic,38,Attempted
2006,Wrocław,technical/professional,40,Attempted
2006,Wrocław,medium,17,Attempted
2006,Wrocław,higher,6,Attempted
2006,Bydgoszcz,basic incomplete,6,Attempted
2006,Bydgoszcz,basic,35,Attempted
2006,Bydgoszcz,technical/professional,53,Attempted
2006,Bydgoszcz,medium,16,Attempted
2006,Bydgoszcz,higher,4,Attempted
2006,Lublin,basic incomplete,16,Attempted
2006,Lublin,basic,93,Attempted
2006,Lublin,technical/professional,48,Attempted
2006,Lublin,medium,30,Attempted
2006,Lublin,higher,4,Attempted
2006,Gorzów Wlkp.,basic incomplete,2,Attempted
2006,Gorzów Wlkp.,basic,19,Attempted
2006,Gorzów Wlkp.,technical/professional,27,Attempted
2006,Gorzów Wlkp.,medium,14,Attempted
2006,Gorzów Wlkp.,higher,3,Attempted
2006,Łódź,basic incomplete,11,Attempted
2006,Łódź,basic,68,Attempted
2006,Łódź,technical/professional,76,Attempted
2006,Łódź,medium,22,Attempted
2006,Łódź,higher,9,Attempted
2006,Kraków,basic incomplete,3,Attempted
2006,Kraków,basic,44,Attempted
2006,Kraków,technical/professional,64,Attempted
2006,Kraków,medium,28,Attempted
2006,Kraków,higher,15,Attempted
2006,Radom,basic incomplete,12,Attempted
2006,Radom,basic,57,Attempted
2006,Radom,technical/professional,51,Attempted
2006,Radom,medium,23,Attempted
2006,Radom,higher,3,Attempted
2006,Opole,basic incomplete,2,Attempted
2006,Opole,basic,32,Attempted
2006,Opole,technical/professional,33,Attempted
2006,Opole,medium,19,Attempted
2006,Opole,higher,2,Attempted
2006,Rzeszów,basic incomplete,3,Attempted
2006,Rzeszów,basic,53,Attempted
2006,Rzeszów,technical/professional,61,Attempted
2006,Rzeszów,medium,19,Attempted
2006,Rzeszów,higher,14,Attempted
2006,Białystok,basic incomplete,8,Attempted
2006,Białystok,basic,38,Attempted
2006,Białystok,technical/professional,30,Attempted
2006,Białystok,medium,15,Attempted
2006,Białystok,higher,3,Attempted
2006,Gdańsk,basic incomplete,9,Attempted
2006,Gdańsk,basic,57,Attempted
2006,Gdańsk,technical/professional,34,Attempted
2006,Gdańsk,medium,12,Attempted
2006,Gdańsk,higher,7,Attempted
2006,Katowice,basic incomplete,2,Attempted
2006,Katowice,basic,81,Attempted
2006,Katowice,technical/professional,115,Attempted
2006,Katowice,medium,45,Attempted
2006,Katowice,higher,8,Attempted
2006,Kielce,basic incomplete,2,Attempted
2006,Kielce,basic,47,Attempted
2006,Kielce,technical/professional,59,Attempted
2006,Kielce,medium,59,Attempted
2006,Kielce,higher,1,Attempted
2006,Olsztyn,basic incomplete,2,Attempted
2006,Olsztyn,basic,45,Attempted
2006,Olsztyn,technical/professional,35,Attempted
2006,Olsztyn,medium,9,Attempted
2006,Olsztyn,higher,5,Attempted
2006,Poznań,basic incomplete,10,Attempted
2006,Poznań,basic,61,Attempted
2006,Poznań,technical/professional,79,Attempted
2006,Poznań,medium,22,Attempted
2006,Poznań,higher,4,Attempted
2006,Szczecin,basic incomplete,2,Attempted
2006,Szczecin,basic,51,Attempted
2006,Szczecin,technical/professional,31,Attempted
2006,Szczecin,medium,19,Attempted
2006,Szczecin,higher,3,Attempted
2006,Warszawa,basic incomplete,2,Attempted
2006,Warszawa,basic,31,Attempted
2006,Warszawa,technical/professional,24,Attempted
2006,Warszawa,medium,19,Attempted
2006,Warszawa,higher,11,Attempted
