year,garnizon,civil_status,suicides,outcome
2003,Kraków,single,140,Attempted
2003,Kraków,married,236,Attempted
2003,Kraków,concubine,7,Attempted
2003,Kraków,widower,33,Attempted
2003,Kraków,divorced,22,Attempted
2003,Kraków,separated,6,Attempted
2003,Radom,single,121,Attempted
2003,Radom,married,134,Attempted
2003,Radom,concubine,5,Attempted
2003,Radom,widower,24,Attempted
2003,Radom,divorced,20,Attempted
2003,Radom,separated,5,Attempted
2003,Opole,single,56,Attempted
2003,Opole,married,61,Attempted
2003,Opole,concubine,6,Attempted
2003,Opole,widower,12,Attempted
2003,Opole,divorced,14,Attempted
2003,Opole,separated,0,Attempted
2003,Rzeszów,single,89,Attempted
2003,Rzeszów,married,126,Attempted
2003,Rzeszów,concubine,4,Attempted
2003,Rzeszów,widower,21,Attempted
2003,Rzeszów,divorced,6,Attempted
2003,Rzeszów,separated,2,Attempted
2003,Białystok,single,93,Attempted
2003,Białystok,married,114,Attempted
2003,Białystok,concubine,5,Attempted
2003,Białystok,widower,20,Attempted
2003,Białystok,divorced,15,Attempted
2003,Białystok,separated,1,Attempted
2003,Gdańsk,single,94,Attempted
2003,Gdańsk,married,132,Attempted
2003,Gdańsk,concubine,15,Attempted
2003,Gdańsk,widower,13,Attempted
2003,Gdańsk,divorced,17,Attempted
2003,Gdańsk,separated,2,Attempted
2003,Katowice,single,191,Attempted
2003,Katowice,married,314,Attempted
2003,Katowice,concubine,20,Attempted
2003,Katowice,widower,43,Attempted
2003,Katowice,divorced,33,Attempted
2003,Katowice,separated,11,Attempted
2003,Kielce,single,60,Attempted
2003,Kielce,married,93,Attempted
2003,Kielce,concubine,4,Attempted
2003,Kielce,widower,11,Attempted
2003,Kielce,divorced,6,Attempted
2003,Kielce,separated,1,Attempted
2003,Olsztyn,single,81,Attempted
2003,Olsztyn,married,109,Attempted
2003,Olsztyn,concubine,6,Attempted
2003,Olsztyn,widower,13,Attempted
2003,Olsztyn,divorced,13,Attempted
2003,Olsztyn,separated,2,Attempted
2003,Poznań,single,156,Attempted
2003,Poznań,married,248,Attempted
2003,Poznań,concubine,10,Attempted
2003,Poznań,widower,33,Attempted
2003,Poznań,divorced,22,Attempted
2003,Poznań,separated,2,Attempted
2003,Szczecin,single,95,Attempted
2003,Szczecin,married,140,Attempted
2003,Szczecin,concubine,18,Attempted
2003,Szczecin,widower,16,Attempted
2003,Szczecin,divorced,27,Attempted
2003,Szczecin,separated,5,Attempted
2003,Warszawa,single,54,Attempted
2003,Warszawa,married,76,Attempted
2003,Warszawa,concubine,7,Attempted
2003,Warszawa,widower,15,Attempted
2003,Warszawa,divorced,20,Attempted
2003,Warszawa,separated,0,Attempted
2004,Wrocław,single,151,Attempted
2004,Wrocław,married,170,Attempted
2004,Wrocław,concubine,27,Attempted
2004,Wrocław,widower,32,Attempted
2004,Wrocław,divorced,30,Attempted
2004,Wrocław,separated,2,Attempted
2004,Bydgoszcz,single,107,Attempted
2004,Bydgoszcz,married,165,Attempted
2004,Bydgoszcz,concubine,10,Attempted
2004,Bydgoszcz,widower,36,Attempted
2004,Bydgoszcz,divorced,14,Attempted
2004,Bydgoszcz,separated,4,Attempted
2004,Lublin,single,162,Attempted
2004,Lublin,married,177,Attempted
2004,Lublin,concubine,5,Attempted
2004,Lublin,widower,26,Attempted
2004,Lublin,divorced,9,Attempted
2004,Lublin,separated,10,Attempted
2004,Gorzów Wlkp.,single,75,Attempted
2004,Gorzów Wlkp.,married,73,Attempted
2004,Gorzów Wlkp.,concubine,9,Attempted
2004,Gorzów Wlkp.,widower,8,Attempted
2004,Gorzów Wlkp.,divorced,11,Attempted
2004,Gorzów Wlkp.,separated,1,Attempted
2004,Łódź,single,114,Attempted
2004,Łódź,married,171,Attempted
2004,Łódź,concubine,15,Attempted
2004,Łódź,widower,22,Attempted
2004,Łódź,divorced,27,Attempted
2004,Łódź,separated,2,Attempted
2004,Kraków,single,176,Attempted
2004,Kraków,married,239,Attempted
2004,Kraków,concubine,9,Attempted
2004,Kraków,widower,28,Attempted
2004,Kraków,divorced,17,Attempted
2004,Kraków,separated,3,Attempted
2004,Radom,single,116,Attempted
2004,Radom,married,141,Attempted
2004,Radom,concubine,3,Attempted
2004,Radom,widower,26,Attempted
2004,Radom,divorced,20,Attempted
2004,Radom,separated,8,Attempted
2004,Opole,single,56,Attempted
2004,Opole,married,87,Attempted
2004,Opole,concubine,5,Attempted
2004,Opole,widower,12,Attempted
2004,Opole,divorced,13,Attempted
2004,Opole,separated,1,Attempted
2004,Rzeszów,single,91,Attempted
2004,Rzeszów,married,139,Attempted
2004,Rzeszów,concubine,3,Attempted
2004,Rzeszów,widower,11,Attempted
2004,Rzeszów,divorced,5,Attempted
2004,Rzeszów,separated,4,Attempted
2004,Białystok,single,82,Attempted
2004,Białystok,married,89,Attempted
2004,Białystok,concubine,5,Attempted
2004,Białystok,widower,16,Attempted
2004,Białystok,divorced,12,Attempted
2004,Białystok,separated,5,Attempted
2004,Gdańsk,single,75,Attempted
2004,Gdańsk,married,138,Attempted
2004,Gdańsk,concubine,10,Attempted
2004,Gdańsk,widower,18,Attempted
2004,Gdańsk,divorced,19,Attempted
2004,Gdańsk,separated,3,Attempted
2004,Katowice,single,187,Attempted
2004,Katowice,married,285,Attempted
2004,Katowice,concubine,25,Attempted
2004,Katowice,widower,46,Attempted
2004,Katowice,divorced,41,Attempted
2004,Katowice,separated,10,Attempted
2004,Kielce,single,80,Attempted
2004,Kielce,married,113,Attempted
2004,Kielce,concubine,3,Attempted
2004,Kielce,widower,16,Attempted
2004,Kielce,divorced,15,Attempted
2004,Kielce,separated,3,Attempted
2004,Olsztyn,single,90,Attempted
2004,Olsztyn,married,115,Attempted
2004,Olsztyn,concubine,15,Attempted
2004,Olsztyn,widower,20,Attempted
2004,Olsztyn,divorced,22,Attempted
2004,Olsztyn,separated,1,Attempted
2004,Poznań,single,152,Attempted
2004,Poznań,married,244,Attempted
2004,Poznań,concubine,11,Attempted
2004,Poznań,widower,41,Attempted
2004,Poznań,divorced,22,Attempted
2004,Poznań,separated,6,Attempted
2004,Szczecin,single,112,Attempted
2004,Szczecin,married,98,Attempted
2004,Szczecin,concubine,9,Attempted
2004,Szczecin,widower,8,Attempted
2004,Szczecin,divorced,17,Attempted
2004,Szczecin,separated,7,Attempted
2004,Warszawa,single,93,Attempted
2004,Warszawa,married,112,Attempted
2004,Warszawa,concubine,9,Attempted
2004,Warszawa,widower,20,Attempted
2004,Warszawa,divorced,26,Attempted
2004,Warszawa,separated,3,Attempted
2005,Wrocław,single,90,Attempted
2005,Wrocław,married,153,Attempted
2005,Wrocław,concubine,9,Attempted
2005,Wrocław,widower,21,Attempted
2005,Wrocław,divorced,36,Attempted
2005,Wrocław,separated,2,Attempted
2005,Bydgoszcz,single,93,Attempted
2005,Bydgoszcz,married,143,Attempted
2005,Bydgoszcz,concubine,7,Attempted
2005,Bydgoszcz,widower,28,Attempted
2005,Bydgoszcz,divorced,23,Attempted
2005,Bydgoszcz,separated,5,Attempted
2005,Lublin,single,138,Attempted
2005,Lublin,married,159,Attempted
2005,Lublin,concubine,9,Attempted
2005,Lublin,widower,25,Attempted
2005,Lublin,divorced,21,Attempted
2005,Lublin,separated,6,Attempted
2005,Gorzów Wlkp.,single,68,Attempted
2005,Gorzów Wlkp.,married,78,Attempted
2005,Gorzów Wlkp.,concubine,11,Attempted
2005,Gorzów Wlkp.,widower,12,Attempted
2005,Gorzów Wlkp.,divorced,7,Attempted
2005,Gorzów Wlkp.,separated,2,Attempted
2005,Łódź,single,109,Attempted
2005,Łódź,married,158,Attempted
2005,Łódź,concubine,14,Attempted
2005,Łódź,widower,28,Attempted
2005,Łódź,divorced,33,Attempted
2005,Łódź,separated,4,Attempted
2005,Kraków,single,157,Attempted
2005,Kraków,married,223,Attempted
2005,Kraków,concubine,4,Attempted
2005,Kraków,widower,28,Attempted
2005,Kraków,divorced,19,Attempted
2005,Kraków,separated,8,Attempted
2005,Radom,single,113,Attempted
2005,Radom,married,161,Attempted
2005,Radom,concubine,8,Attempted
2005,Radom,widower,26,Attempted
2005,Radom,divorced,20,Attempted
2005,Radom,separated,8,Attempted
2005,Opole,single,60,Attempted
2005,Opole,married,64,Attempted
2005,Opole,concubine,11,Attempted
2005,Opole,widower,6,Attempted
2005,Opole,divorced,9,Attempted
2005,Opole,separated,1,Attempted
2005,Rzeszów,single,107,Attempted
2005,Rzeszów,married,122,Attempted
2005,Rzeszów,concubine,2,Attempted
2005,Rzeszów,widower,17,Attempted
2005,Rzeszów,divorced,12,Attempted
2005,Rzeszów,separated,0,Attempted
2005,Białystok,single,87,Attempted
2005,Białystok,married,94,Attempted
2005,Białystok,concubine,5,Attempted
2005,Białystok,widower,7,Attempted
2005,Białystok,divorced,15,Attempted
2005,Białystok,separated,1,Attempted
2005,Gdańsk,single,106,Attempted
2005,Gdańsk,married,142,Attempted
2005,Gdańsk,concubine,9,Attempted
2005,Gdańsk,widower,24,Attempted
2005,Gdańsk,divorced,19,Attempted
2005,Gdańsk,separated,5,Attempted
2005,Katowice,single,201,Attempted
2005,Katowice,married,298,Attempted
2005,Katowice,concubine,18,Attempted
2005,Katowice,widower,38,Attempted
2005,Katowice,divorced,43,Attempted
2005,Katowice,separated,7,Attempted
2005,Kielce,single,41,Attempted
2005,Kielce,married,96,Attempted
2005,Kielce,concubine,6,Attempted
2005,Kielce,widower,15,Attempted
2005,Kielce,divorced,9,Attempted
2005,Kielce,separated,4,Attempted
2005,Olsztyn,single,102,Attempted
2005,Olsztyn,married,135,Attempted
2005,Olsztyn,concubine,16,Attempted
2005,Olsztyn,widower,12,Attempted
2005,Olsztyn,divorced,23,Attempted
2005,Olsztyn,separated,1,Attempted
2005,Poznań,single,153,Attempted
2005,Poznań,married,218,Attempted
2005,Poznań,concubine,19,Attempted
2005,Poznań,widower,33,Attempted
2005,Poznań,divorced,25,Attempted
2005,Poznań,separated,7,Attempted
2005,Szczecin,single,95,Attempted
2005,Szczecin,married,116,Attempted
2005,Szczecin,concubine,17,Attempted
2005,Szczecin,widower,12,Attempted
2005,Szczecin,divorced,12,Attempted
2005,Szczecin,separated,2,Attempted
2005,Warszawa,single,82,Attempted
2005,Warszawa,married,100,Attempted
2005,Warszawa,concubine,7,Attempted
2005,Warszawa,widower,20,Attempted
2005,Warszawa,divorced,22,Attempted
2005,Warszawa,separated,3,Attempted
2006,Wrocław,single,91,Attempted
2006,Wrocław,married,116,Attempted
2006,Wrocław,concubine,19,Attempted
2006,Wrocław,widower,28,Attempted
2006,Wrocław,divorced,31,Attempted
2006,Wrocław,separated,3,Attempted
2006,Bydgoszcz,single,73,Attempted
2006,Bydgoszcz,married,109,Attempted
2006,Bydgoszcz,concubine,6,Attempted
2006,Bydgoszcz,widower,23,Attempted
2006,Bydgoszcz,divorced,22,Attempted
2006,Bydgoszcz,separated,1,Attempted
2006,Lublin,single,111,Attempted
2006,Lublin,married,168,Attempted
2006,Lublin,concubine,7,Attempted
