Year,Garnizon,Total,Age,Suicides by age,Result,Sex,Suicides by sex,Population,Percentage
2010,KWP Poznań,374,7-12,1,Attempted,Male,313,540365,6.921247675182516e-4
2010,KWP Szczecin,206,7-12,0,Attempted,Male,150,404461,5.093198108099421e-4
2010,KSP Warszawa,235,7-12,0,Attempted,Male,186,1790658,1.3123667389306054e-4
2010,Polska,5456,7-12,6,Attempted,Male,4480,NA,NA
2011,KWP Wrocław,241,7-12,0,Attempted,Male,194,638659,3.7735317281992425e-4
2011,KWP Bydgoszcz,330,7-12,0,Attempted,Male,270,354006,9.321875900408468e-4
2011,KWP Lublin,313,7-12,1,Attempted,Male,265,342039,9.151003248167607e-4
2011,KWP Gorzów Wlkp.,214,7-12,0,Attempted,Male,175,122141,0.0017520734233386005
2011,KWP Łódź,436,7-12,1,Attempted,Male,357,696708,6.258001917589578e-4
2011,KWP Kraków,439,7-12,0,Attempted,Male,358,766683,5.725964968572409e-4
2011,KWP Radom,356,7-12,0,Attempted,Male,313,213715,0.001665769833656973
2011,KWP Opole,141,7-12,0,Attempted,Male,112,118303,0.001191854813487401
2011,KWP Rzeszów,197,7-12,0,Attempted,Male,167,183901,0.001071228541443494
2011,KWP Białystok,220,7-12,0,Attempted,Male,174,293407,7.498116950175013e-4
2011,KWP Gdańsk,260,7-12,0,Attempted,Male,222,582205,4.465780953444234e-4
2011,KWP Katowice,695,7-12,0,Attempted,Male,583,302397,0.0022983032239076444
2011,KWP Kielce,172,7-12,0,Attempted,Male,149,195942,8.778107807412398e-4
2011,KWP Olsztyn,336,7-12,0,Attempted,Male,228,173718,0.0019341691707249681
2011,KWP Poznań,326,7-12,1,Attempted,Male,274,540365,6.032959203501337e-4
2011,KWP Szczecin,245,7-12,1,Attempted,Male,196,404461,6.057444351865816e-4
2011,KSP Warszawa,203,7-12,1,Attempted,Male,158,1790658,1.1336614808634592e-4
2011,Polska,5124,7-12,5,Attempted,Male,4195,NA,NA
2012,KWP Wrocław,262,7-12,0,Attempted,Male,216,638659,4.102345696216604e-4
2012,KWP Bydgoszcz,348,7-12,0,Attempted,Male,294,354006,9.830341858612565e-4
2012,KWP Lublin,302,7-12,0,Attempted,Male,252,342039,8.829402495037116e-4
2012,KWP Gorzów Wlkp.,248,7-12,0,Attempted,Male,200,122141,0.0020304402289157615
2012,KWP Łódź,511,7-12,0,Attempted,Male,399,696708,7.334493073138244e-4
2012,KWP Kraków,468,7-12,1,Attempted,Male,386,766683,6.104217779708171e-4
2012,KWP Radom,350,7-12,0,Attempted,Male,308,213715,0.0016376950611796085
2012,KWP Opole,148,7-12,1,Attempted,Male,109,118303,0.001251024910610889
2012,KWP Rzeszów,233,7-12,0,Attempted,Male,190,183901,0.0012669860414027112
2012,KWP Białystok,232,7-12,1,Attempted,Male,196,293407,7.907105147457286e-4
2012,KWP Gdańsk,247,7-12,0,Attempted,Male,214,582205,4.242491905772022e-4
2012,KWP Katowice,612,7-12,2,Attempted,Male,480,302397,0.0020238296014841416
2012,KWP Kielce,576,7-12,0,Attempted,Male,445,195942,0.002939645405272989
2012,KWP Olsztyn,346,7-12,0,Attempted,Male,277,173718,0.001991733729377497
2012,KWP Poznań,294,7-12,0,Attempted,Male,251,540365,5.440766889047218e-4
2012,KWP Szczecin,229,7-12,0,Attempted,Male,177,404461,5.661856149294988e-4
2012,KSP Warszawa,385,7-12,0,Attempted,Male,309,1790658,2.1500476361203534e-4
2012,Polska,5791,7-12,5,Attempted,Male,4703,NA,NA
1999,KWP Wrocław,378,13-18,18,Attempted,Male,317,638659,5.918651424312505e-4
1999,KWP Bydgoszcz,263,13-18,18,Attempted,Male,227,354006,7.429252611537658e-4
1999,KWP Lublin,283,13-18,17,Attempted,Male,231,342039,8.27391028508445e-4
1999,KWP Gorzów Wlkp.,194,13-18,13,Attempted,Male,156,122141,0.0015883282435873293
1999,KWP Łódź,410,13-18,15,Attempted,Male,348,696708,5.884818316999374e-4
1999,KWP Kraków,302,13-18,12,Attempted,Male,255,766683,3.9390465159655296e-4
1999,KWP Radom,403,13-18,22,Attempted,Male,358,213715,0.0018856888847296634
1999,KWP Opole,189,13-18,13,Attempted,Male,160,118303,0.0015975926223341758
1999,KWP Rzeszów,205,13-18,17,Attempted,Male,170,183901,0.001114730208101098
1999,KWP Białystok,216,13-18,19,Attempted,Male,172,293407,7.361787551080921e-4
1999,KWP Gdańsk,325,13-18,10,Attempted,Male,270,582205,5.582226191805292e-4
1999,KWP Katowice,543,13-18,36,Attempted,Male,457,302397,0.0017956527346501454
1999,KWP Kielce,199,13-18,7,Attempted,Male,171,195942,0.001015606659113411
1999,KWP Olsztyn,201,13-18,18,Attempted,Male,169,173718,0.0011570476289158292
1999,KWP Poznań,644,13-18,45,Attempted,Male,507,540365,0.0011917870328389145
1999,KWP Szczecin,313,13-18,29,Attempted,Male,238,404461,7.738694212791839e-4
1999,KSP Warszawa,114,13-18,9,Attempted,Male,86,1790658,6.366374818642086e-5
1999,Polska,5182,13-18,318,Attempted,Male,4292,NA,NA
2000,KWP Wrocław,431,13-18,31,Attempted,Male,331,638659,6.748515248356322e-4
2000,KWP Bydgoszcz,262,13-18,10,Attempted,Male,220,354006,7.401004502748541e-4
2000,KWP Lublin,288,13-18,20,Attempted,Male,238,342039,8.420092445598309e-4
2000,KWP Gorzów Wlkp.,178,13-18,7,Attempted,Male,150,122141,0.0014573320997863124
2000,KWP Łódź,402,13-18,16,Attempted,Male,333,696708,5.76999259374085e-4
2000,KWP Kraków,545,13-18,30,Attempted,Male,437,766683,7.108544209275541e-4
2000,KWP Radom,439,13-18,23,Attempted,Male,378,213715,0.0020541375195938516
2000,KWP Opole,176,13-18,15,Attempted,Male,149,118303,0.001487705299104841
2000,KWP Rzeszów,348,13-18,22,Attempted,Male,281,183901,0.0018923224996057661
2000,KWP Białystok,242,13-18,20,Attempted,Male,202,293407,8.247928645192514e-4
2000,KWP Gdańsk,337,13-18,21,Attempted,Male,274,582205,5.788339158887333e-4
2000,KWP Katowice,574,13-18,33,Attempted,Male,450,302397,0.001898166979169767
2000,KWP Kielce,197,13-18,16,Attempted,Male,166,195942,0.0010053995570117689
2000,KWP Olsztyn,149,13-18,8,Attempted,Male,124,173718,8.577119239226793e-4
2000,KWP Poznań,644,13-18,24,Attempted,Male,486,540365,0.0011917870328389145
2000,KWP Szczecin,305,13-18,30,Attempted,Male,224,404461,7.540900111506425e-4
2000,KSP Warszawa,104,13-18,4,Attempted,Male,77,1790658,5.807920887182254e-5
2000,Polska,5621,13-18,330,Attempted,Male,4520,NA,NA
2001,KWP Wrocław,372,13-18,28,Attempted,Male,302,638659,5.824704576307544e-4
2001,KWP Bydgoszcz,268,13-18,10,Attempted,Male,225,354006,7.57049315548324e-4
2001,KWP Lublin,313,13-18,29,Attempted,Male,267,342039,9.151003248167607e-4
2001,KWP Gorzów Wlkp.,246,13-18,19,Attempted,Male,184,122141,0.0020140657109406343
2001,KWP Łódź,380,13-18,26,Attempted,Male,320,696708,5.454221854779908e-4
2001,KWP Kraków,591,13-18,23,Attempted,Male,484,766683,7.708531426939165e-4
2001,KWP Radom,464,13-18,19,Attempted,Male,406,213715,0.002171115738249538
2001,KWP Opole,152,13-18,8,Attempted,Male,130,118303,0.0012848363946814535
2001,KWP Rzeszów,316,13-18,14,Attempted,Male,248,183901,0.0017183158329753508
2001,KWP Białystok,221,13-18,19,Attempted,Male,185,293407,7.532199299948535e-4
2001,KWP Gdańsk,364,13-18,19,Attempted,Male,313,582205,6.252093334821926e-4
2001,KWP Katowice,558,13-18,33,Attempted,Male,453,302397,0.001845256401353188
2001,KWP Kielce,192,13-18,13,Attempted,Male,166,195942,9.79881801757663e-4
2001,KWP Olsztyn,240,13-18,13,Attempted,Male,206,173718,0.0013815494076606914
2001,KWP Poznań,641,13-18,37,Attempted,Male,509,540365,0.001186235229890907
2001,KWP Szczecin,301,13-18,23,Attempted,Male,211,404461,7.442003060863717e-4
2001,KSP Warszawa,93,13-18,4,Attempted,Male,68,1790658,5.193621562576438e-5
2001,Polska,5712,13-18,337,Attempted,Male,4677,NA,NA
2002,KWP Wrocław,372,13-18,18,Attempted,Male,298,638659,5.824704576307544e-4
2002,KWP Bydgoszcz,233,13-18,7,Attempted,Male,185,354006,6.581809347864161e-4
2002,KWP Lublin,329,13-18,21,Attempted,Male,288,342039,9.618786161811957e-4
2002,KWP Gorzów Wlkp.,243,13-18,16,Attempted,Male,200,122141,0.0019895039339779437
2002,KWP Łódź,385,13-18,20,Attempted,Male,323,696708,5.525987931816486e-4
2002,KWP Kraków,640,13-18,32,Attempted,Male,504,766683,8.347648245754765e-4
2002,KWP Radom,393,13-18,18,Attempted,Male,320,213715,0.001838897597267389
2002,KWP Opole,157,13-18,14,Attempted,Male,131,118303,0.0013271007497696592
2002,KWP Rzeszów,370,13-18,15,Attempted,Male,296,183901,0.002011952082914177
2002,KWP Białystok,242,13-18,16,Attempted,Male,204,293407,8.247928645192514e-4
2002,KWP Gdańsk,391,13-18,15,Attempted,Male,327,582205,6.71584751075652e-4
2002,KWP Katowice,643,13-18,36,Attempted,Male,511,302397,0.0021263438460037633
2002,KWP Kielce,206,13-18,11,Attempted,Male,170,195942,0.0010513315164691593
2002,KWP Olsztyn,267,13-18,15,Attempted,Male,212,173718,0.0015369737160225193
2002,KWP Poznań,617,13-18,40,Attempted,Male,472,540365,0.001141820806306848
2002,KWP Szczecin,311,13-18,22,Attempted,Male,235,404461,7.689245687470485e-4
2002,KSP Warszawa,129,13-18,4,Attempted,Male,100,1790658,7.204055715831834e-5
2002,Polska,5928,13-18,320,Attempted,Male,4776,NA,NA
2003,KWP Wrocław,420,13-18,20,Attempted,Male,336,638659,6.576279360347228e-4
2003,KWP Bydgoszcz,199,13-18,10,Attempted,Male,160,354006,5.621373649034198e-4
2003,KWP Lublin,399,13-18,24,Attempted,Male,344,342039,0.001166533640900599
2003,KWP Gorzów Wlkp.,180,13-18,17,Attempted,Male,129,122141,0.0014737066177614396
2003,KWP Łódź,335,13-18,13,Attempted,Male,279,696708,4.808327161450708e-4
