year,garnizon,sex,suicides,outcome
2012,KWP Wrocław,Female,46,Attempted
2012,KWP Bydgoszcz,Female,54,Attempted
2012,KWP Lublin,Female,50,Attempted
2012,KWP Gorzów Wlkp.,Female,48,Attempted
2012,KWP Łódź,Female,112,Attempted
2012,KWP Kraków,Female,82,Attempted
2012,KWP Radom,Female,42,Attempted
2012,KWP Opole,Female,39,Attempted
2012,KWP Rzeszów,Female,43,Attempted
2012,KWP Białystok,Female,36,Attempted
2012,KWP Gdańsk,Female,33,Attempted
2012,KWP Katowice,Female,132,Attempted
2012,KWP Kielce,Female,131,Attempted
2012,KWP Olsztyn,Female,69,Attempted
2012,KWP Poznań,Female,43,Attempted
2012,KWP Szczecin,Female,52,Attempted
2012,KSP Warszawa,Female,76,Attempted
2013,KWP Bydgoszcz,Male,248,Attempted
2013,KWP Białystok,Male,230,Attempted
2013,KWP Gdańsk,Male,342,Attempted
2013,KWP Gorzów Wlkp.,Male,209,Attempted
2013,KWP Katowice,Male,915,Attempted
2013,KWP Kielce,Male,589,Attempted
2013,KWP Kraków,Male,560,Attempted
2013,KWP Łódź,Male,573,Attempted
2013,KWP Lublin,Male,397,Attempted
2013,KWP Olsztyn,Male,375,Attempted
2013,KWP Opole,Male,176,Attempted
2013,KWP Poznań,Male,416,Attempted
2013,KWP Rzeszów,Male,286,Attempted
2013,KWP Szczecin,Male,347,Attempted
2013,KSP Warszawa,Male,416,Attempted
2013,KWP Radom,Male,459,Attempted
2013,KWP Wrocław,Male,459,Attempted
2014,KWP Bydgoszcz,Male,283,Attempted
2014,KWP Białystok,Male,294,Attempted
2014,KWP Gdańsk,Male,358,Attempted
2014,KWP Gorzów Wlkp.,Male,203,Attempted
2014,KWP Katowice,Male,1095,Attempted
2014,KWP Kielce,Male,666,Attempted
2014,KWP Kraków,Male,754,Attempted
2014,KWP Łódź,Male,686,Attempted
2014,KWP Lublin,Male,432,Attempted
2014,KWP Olsztyn,Male,518,Attempted
2014,KWP Opole,Male,184,Attempted
2014,KWP Poznań,Male,496,Attempted
2014,KWP Rzeszów,Male,355,Attempted
2014,KWP Szczecin,Male,343,Attempted
2014,KSP Warszawa,Male,418,Attempted
2014,KWP Radom,Male,504,Attempted
2014,KWP Wrocław,Male,561,Attempted
2015,KWP Bydgoszcz,Male,297,Attempted
2015,KWP Białystok,Male,252,Attempted
2015,KWP Gdańsk,Male,380,Attempted
2015,KWP Gorzów Wlkp.,Male,234,Attempted
2015,KWP Katowice,Male,1152,Attempted
2015,KWP Kielce,Male,598,Attempted
