year,garnizon,outcome,total,percentage
2012,KWP Kielce,Attempted,576,0.002939645405272989
2012,KWP Kielce,Fatal,311,0.0015872043768053812
2012,KWP Kraków,Attempted,468,6.104217779708171e-4
2012,KWP Kraków,Fatal,333,4.343385727869276e-4
2012,KWP Łódź,Attempted,511,7.334493073138244e-4
2012,KWP Łódź,Fatal,373,5.353749346928699e-4
2012,KWP Lublin,Attempted,302,8.829402495037116e-4
2012,KWP Lublin,Fatal,236,6.89979797625417e-4
2012,KWP Olsztyn,Attempted,346,0.001991733729377497
2012,KWP Olsztyn,Fatal,194,0.0011167524378590588
2012,KWP Opole,Attempted,148,0.001251024910610889
2012,KWP Opole,Fatal,99,8.36834230746473e-4
2012,KWP Poznań,Attempted,294,5.440766889047218e-4
2012,KWP Poznań,Fatal,245,4.533972407539348e-4
2012,KWP Radom,Attempted,350,0.0016376950611796085
2012,KWP Radom,Fatal,323,0.001511358585031467
