year,garnizon,age,suicides,outcome
2005,KWP Łódź,7-12,1,Attempted
2005,KWP Kraków,7-12,2,Attempted
2005,KWP Radom,7-12,0,Attempted
2005,KWP Opole,7-12,1,Attempted
2005,KWP Rzeszów,7-12,2,Attempted
2005,KWP Białystok,7-12,0,Attempted
2005,KWP Gdańsk,7-12,0,Attempted
2005,KWP Katowice,7-12,2,Attempted
2005,KWP Kielce,7-12,0,Attempted
2005,KWP Olsztyn,7-12,1,Attempted
2005,KWP Poznań,7-12,2,Attempted
2005,KWP Szczecin,7-12,0,Attempted
2005,KSP Warszawa,7-12,1,Attempted
2006,KWP Wrocław,7-12,0,Attempted
2006,KWP Bydgoszcz,7-12,0,Attempted
2006,KWP Lublin,7-12,0,Attempted
2006,KWP Gorzów Wlkp.,7-12,0,Attempted
2006,KWP Łódź,7-12,0,Attempted
2006,KWP Kraków,7-12,0,Attempted
2006,KWP Radom,7-12,1,Attempted
2006,KWP Opole,7-12,2,Attempted
2006,KWP Rzeszów,7-12,0,Attempted
2006,KWP Białystok,7-12,1,Attempted
2006,KWP Gdańsk,7-12,1,Attempted
2006,KWP Katowice,7-12,1,Attempted
2006,KWP Kielce,7-12,0,Attempted
2006,KWP Olsztyn,7-12,0,Attempted
2006,KWP Poznań,7-12,2,Attempted
2006,KWP Szczecin,7-12,1,Attempted
2006,KSP Warszawa,7-12,0,Attempted
2007,KWP Wrocław,7-12,0,Attempted
2007,KWP Bydgoszcz,7-12,1,Attempted
2007,KWP Lublin,7-12,0,Attempted
2007,KWP Gorzów Wlkp.,7-12,2,Attempted
2007,KWP Łódź,7-12,2,Attempted
2007,KWP Kraków,7-12,1,Attempted
2007,KWP Radom,7-12,0,Attempted
2007,KWP Opole,7-12,1,Attempted
2007,KWP Rzeszów,7-12,1,Attempted
2007,KWP Białystok,7-12,1,Attempted
2007,KWP Gdańsk,7-12,1,Attempted
2007,KWP Katowice,7-12,1,Attempted
2007,KWP Kielce,7-12,0,Attempted
2007,KWP Olsztyn,7-12,3,Attempted
2007,KWP Poznań,7-12,1,Attempted
2007,KWP Szczecin,7-12,0,Attempted
2007,KSP Warszawa,7-12,0,Attempted
2008,KWP Wrocław,7-12,0,Attempted
2008,KWP Bydgoszcz,7-12,0,Attempted
2008,KWP Lublin,7-12,0,Attempted
2008,KWP Gorzów Wlkp.,7-12,1,Attempted
2008,KWP Łódź,7-12,0,Attempted
2008,KWP Kraków,7-12,0,Attempted
2008,KWP Radom,7-12,0,Attempted
2008,KWP Opole,7-12,0,Attempted
2008,KWP Rzeszów,7-12,2,Attempted
2008,KWP Białystok,7-12,0,Attempted
2008,KWP Gdańsk,7-12,1,Attempted
2008,KWP Katowice,7-12,1,Attempted
2008,KWP Kielce,7-12,0,Attempted
2008,KWP Olsztyn,7-12,1,Attempted
2008,KWP Poznań,7-12,2,Attempted
2008,KWP Szczecin,7-12,0,Attempted
2008,KSP Warszawa,7-12,1,Attempted
2009,KWP Wrocław,7-12,0,Attempted
2009,KWP Bydgoszcz,7-12,0,Attempted
2009,KWP Lublin,7-12,1,Attempted
2009,KWP Gorzów Wlkp.,7-12,0,Attempted
2009,KWP Łódź,7-12,1,Attempted
2009,KWP Kraków,7-12,0,Attempted
2009,KWP Radom,7-12,0,Attempted
2009,KWP Opole,7-12,0,Attempted
2009,KWP Rzeszów,7-12,0,Attempted
2009,KWP Białystok,7-12,0,Attempted
2009,KWP Gdańsk,7-12,0,Attempted
2009,KWP Katowice,7-12,0,Attempted
2009,KWP Kielce,7-12,0,Attempted
2009,KWP Olsztyn,7-12,1,Attempted
2009,KWP Poznań,7-12,0,Attempted
2009,KWP Szczecin,7-12,0,Attempted
2009,KSP Warszawa,7-12,2,Attempted
2010,KWP Wrocław,7-12,0,Attempted
2010,KWP Bydgoszcz,7-12,0,Attempted
2010,KWP Lublin,7-12,0,Attempted
2010,KWP Gorzów Wlkp.,7-12,0,Attempted
2010,KWP Łódź,7-12,1,Attempted
2010,KWP Kraków,7-12,1,Attempted
2010,KWP Radom,7-12,2,Attempted
2010,KWP Opole,7-12,0,Attempted
2010,KWP Rzeszów,7-12,0,Attempted
2010,KWP Białystok,7-12,1,Attempted
2010,KWP Gdańsk,7-12,0,Attempted
2010,KWP Katowice,7-12,0,Attempted
2010,KWP Kielce,7-12,0,Attempted
2010,KWP Olsztyn,7-12,0,Attempted
2010,KWP Poznań,7-12,1,Attempted
2010,KWP Szczecin,7-12,0,Attempted
2010,KSP Warszawa,7-12,0,Attempted
2011,KWP Wrocław,7-12,0,Attempted
2011,KWP Bydgoszcz,7-12,0,Attempted
2011,KWP Lublin,7-12,1,Attempted
2011,KWP Gorzów Wlkp.,7-12,0,Attempted
2011,KWP Łódź,7-12,1,Attempted
2011,KWP Kraków,7-12,0,Attempted
2011,KWP Radom,7-12,0,Attempted
2011,KWP Opole,7-12,0,Attempted
2011,KWP Rzeszów,7-12,0,Attempted
2011,KWP Białystok,7-12,0,Attempted
2011,KWP Gdańsk,7-12,0,Attempted
2011,KWP Katowice,7-12,0,Attempted
2011,KWP Kielce,7-12,0,Attempted
2011,KWP Olsztyn,7-12,0,Attempted
2011,KWP Poznań,7-12,1,Attempted
2011,KWP Szczecin,7-12,1,Attempted
2011,KSP Warszawa,7-12,1,Attempted
2012,KWP Wrocław,7-12,0,Attempted
2012,KWP Bydgoszcz,7-12,0,Attempted
2012,KWP Lublin,7-12,0,Attempted
2012,KWP Gorzów Wlkp.,7-12,0,Attempted
2012,KWP Łódź,7-12,0,Attempted
2012,KWP Kraków,7-12,1,Attempted
2012,KWP Radom,7-12,0,Attempted
2012,KWP Opole,7-12,1,Attempted
2012,KWP Rzeszów,7-12,0,Attempted
2012,KWP Białystok,7-12,1,Attempted
2012,KWP Gdańsk,7-12,0,Attempted
2012,KWP Katowice,7-12,2,Attempted
2012,KWP Kielce,7-12,0,Attempted
2012,KWP Olsztyn,7-12,0,Attempted
2012,KWP Poznań,7-12,0,Attempted
2012,KWP Szczecin,7-12,0,Attempted
2012,KSP Warszawa,7-12,0,Attempted
1999,KWP Wrocław,13-18,18,Attempted
1999,KWP Bydgoszcz,13-18,18,Attempted
1999,KWP Lublin,13-18,17,Attempted
1999,KWP Gorzów Wlkp.,13-18,13,Attempted
1999,KWP Łódź,13-18,15,Attempted
1999,KWP Kraków,13-18,12,Attempted
1999,KWP Radom,13-18,22,Attempted
1999,KWP Opole,13-18,13,Attempted
1999,KWP Rzeszów,13-18,17,Attempted
1999,KWP Białystok,13-18,19,Attempted
1999,KWP Gdańsk,13-18,10,Attempted
1999,KWP Katowice,13-18,36,Attempted
1999,KWP Kielce,13-18,7,Attempted
1999,KWP Olsztyn,13-18,18,Attempted
1999,KWP Poznań,13-18,45,Attempted
1999,KWP Szczecin,13-18,29,Attempted
1999,KSP Warszawa,13-18,9,Attempted
2000,KWP Wrocław,13-18,31,Attempted
2000,KWP Bydgoszcz,13-18,10,Attempted
2000,KWP Lublin,13-18,20,Attempted
2000,KWP Gorzów Wlkp.,13-18,7,Attempted
2000,KWP Łódź,13-18,16,Attempted
2000,KWP Kraków,13-18,30,Attempted
2000,KWP Radom,13-18,23,Attempted
2000,KWP Opole,13-18,15,Attempted
2000,KWP Rzeszów,13-18,22,Attempted
2000,KWP Białystok,13-18,20,Attempted
2000,KWP Gdańsk,13-18,21,Attempted
2000,KWP Katowice,13-18,33,Attempted
2000,KWP Kielce,13-18,16,Attempted
2000,KWP Olsztyn,13-18,8,Attempted
2000,KWP Poznań,13-18,24,Attempted
2000,KWP Szczecin,13-18,30,Attempted
2000,KSP Warszawa,13-18,4,Attempted
2001,KWP Wrocław,13-18,28,Attempted
2001,KWP Bydgoszcz,13-18,10,Attempted
2001,KWP Lublin,13-18,29,Attempted
2001,KWP Gorzów Wlkp.,13-18,19,Attempted
2001,KWP Łódź,13-18,26,Attempted
2001,KWP Kraków,13-18,23,Attempted
2001,KWP Radom,13-18,19,Attempted
2001,KWP Opole,13-18,8,Attempted
2001,KWP Rzeszów,13-18,14,Attempted
2001,KWP Białystok,13-18,19,Attempted
2001,KWP Gdańsk,13-18,19,Attempted
2001,KWP Katowice,13-18,33,Attempted
2001,KWP Kielce,13-18,13,Attempted
2001,KWP Olsztyn,13-18,13,Attempted
2001,KWP Poznań,13-18,37,Attempted
2001,KWP Szczecin,13-18,23,Attempted
2001,KSP Warszawa,13-18,4,Attempted
2002,KWP Wrocław,13-18,18,Attempted
2002,KWP Bydgoszcz,13-18,7,Attempted
2002,KWP Lublin,13-18,21,Attempted
2002,KWP Gorzów Wlkp.,13-18,16,Attempted
2002,KWP Łódź,13-18,20,Attempted
2002,KWP Kraków,13-18,32,Attempted
2002,KWP Radom,13-18,18,Attempted
2002,KWP Opole,13-18,14,Attempted
2002,KWP Rzeszów,13-18,15,Attempted
2002,KWP Białystok,13-18,16,Attempted
2002,KWP Gdańsk,13-18,15,Attempted
2002,KWP Katowice,13-18,36,Attempted
2002,KWP Kielce,13-18,11,Attempted
2002,KWP Olsztyn,13-18,15,Attempted
